profile,basis,b_angstrom,temperature,removal_steps,radius,intact,removed,mismatched_return,correct_return,causal_margin,causal_pass,mismatch_overlap
6-31g_b0.8,6-31g,0.8,0.008,10,0.35,0.8300000000000001,0.38375000000000004,0.47125000000000006,0.8318749999999999,0.35875,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.008,10,0.45,0.89125,0.48875,0.6300000000000001,0.8975,0.26124999999999987,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.008,10,0.55,0.93875,0.591875,0.781875,0.9368749999999999,0.15499999999999992,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.008,20,0.15,0.49312500000000004,0.180625,0.130625,0.42500000000000004,0.24437500000000004,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.008,20,0.25,0.7081249999999999,0.28687500000000005,0.266875,0.665,0.378125,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.008,20,0.35,0.8300000000000001,0.38375000000000004,0.415625,0.805625,0.39,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.008,20,0.45,0.89125,0.48875,0.550625,0.875625,0.32499999999999996,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.008,20,0.55,0.93875,0.591875,0.6824999999999999,0.9156250000000001,0.23312500000000025,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.008,40,0.15,0.49312500000000004,0.180625,0.16562500000000002,0.45125000000000004,0.270625,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.008,40,0.25,0.7081249999999999,0.28687500000000005,0.3,0.685,0.38500000000000006,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.008,40,0.35,0.8300000000000001,0.38375000000000004,0.434375,0.828125,0.39375,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.008,40,0.45,0.89125,0.48875,0.5606249999999999,0.893125,0.33062500000000006,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.008,40,0.55,0.93875,0.591875,0.67125,0.924375,0.25312499999999993,True,0.1093895984264179
6-31g_b0.9,6-31g,0.9,0.0005,10,0.15,0.995625,0.18125000000000002,0.0025,0.99625,0.814375,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.0005,10,0.25,1.0,0.288125,0.303125,1.0,0.696875,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.0005,10,0.35,1.0,0.3875,0.9306249999999999,1.0,0.06937500000000008,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.0005,10,0.45,1.0,0.494375,0.983125,1.0,0.016874999999999973,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.0005,10,0.55,1.0,0.6000000000000001,0.984375,1.0,0.015625,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.0005,20,0.15,0.995625,0.18125000000000002,0.000625,0.966875,0.785625,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.0005,20,0.25,1.0,0.288125,0.28,0.96875,0.680625,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.0005,20,0.35,1.0,0.3875,0.805625,0.96875,0.16312499999999996,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.0005,20,0.45,1.0,0.494375,0.858125,0.96875,0.11062499999999997,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.0005,20,0.55,1.0,0.6000000000000001,0.859375,0.96875,0.109375,True,0.20668485557767086
