training_seed,architecture,transition,model_weight_hash,heldout_both_correct,task_competent,untrained_component_norm,component_norm,component_a_norm,component_b_norm,component_bilateral_support,next_component_norm,transported_norm,transport_fraction,transport_percentile,probability_response,probability_response_percentile,erase_cross_entropy_increase,exchange_cross_entropy_increase,bilateral_fraction,reconstruction_error
8004,central_shared,6_to_7,e82c9bbbc57a2dd867aa6db0a313ba7c5a39a2b1e3c4074e45212e03911b6607,0.999755859375,True,0.00019965896425586127,0.17273986194796664,0.1951475950248039,0.13925225914025585,1.0,0.2091933022005045,0.12500926823194386,0.5975777757555871,0.0,3.069151247292139e-05,0.0,2.8635417412431387e-05,0.00042165074662718936,1.0,3.3306690738754696e-16
8004,directional_relay,4_to_5,b4f376ef1ef85cb854152228154f8805cb26ce33b49ecb584e4f12385aed46f5,1.0,True,0.0001748664376989366,0.025256563921214767,0.02117974248938668,0.022982113157176312,1.0,0.07054244831966311,0.016629105124534204,0.23573189647713122,0.0,2.1050114529169114e-09,0.0,8.844971203593446e-11,1.0505344489271354e-09,0.305419921875,2.220446049250313e-16
8004,directional_relay,5_to_6,b4f376ef1ef85cb854152228154f8805cb26ce33b49ecb584e4f12385aed46f5,1.0,True,0.0001748664376989366,0.07054244831966311,0.07209865732969564,0.0593479915807356,1.0,0.1134877798012054,0.04028238586703036,0.3549491049837465,0.0,5.213181635583494e-09,0.0,3.1630103306503652e-09,9.946995625955076e-09,0.71044921875,2.220446049250313e-16
8004,directional_relay,6_to_7,b4f376ef1ef85cb854152228154f8805cb26ce33b49ecb584e4f12385aed46f5,1.0,True,0.0001748664376989366,0.1134877798012054,0.13307244986945854,0.08464050866799443,1.0,0.14080354381517465,0.06807723698162702,0.4834909345107705,0.0,7.713115165008081e-09,0.0,-1.7115356718775482e-10,2.4988361267075587e-08,0.858154296875,2.220446049250313e-16
8004,four_channel_crossbar,4_to_5,ad42102933d73ddaaa988890bce76555e93079180162a625a73cffa0715dbb43,1.0,True,0.00015389594601275135,0.05740239179988563,0.07289515965729068,0.029526378552748096,1.0,0.10508715273025679,0.04270818194018382,0.40640726131204086,0.0,6.387178922724689e-07,0.0,6.900970013325693e-07,5.1257361785427755e-05,0.991943359375,3.3306690738754696e-16
8004,four_channel_crossbar,5_to_6,ad42102933d73ddaaa988890bce76555e93079180162a625a73cffa0715dbb43,1.0,True,0.00015389594601275135,0.10508715273025679,0.11626527525158996,0.08287739018601309,1.0,0.19245152872317214,0.08260516041266772,0.4292257949870036,1.0,2.422994815814256e-06,0.0,3.234196922876331e-06,0.00030745985518308336,1.0,3.3306690738754696e-16
8004,four_channel_crossbar,6_to_7,ad42102933d73ddaaa988890bce76555e93079180162a625a73cffa0715dbb43,1.0,True,0.00015389594601275135,0.19245152872317214,0.1690154593288104,0.19799963617951127,1.0,0.23957656176687442,0.11742809695370576,0.490148519069123,0.0,2.420253033091601e-06,0.0,2.7573861592520892e-06,0.0006838088830004306,1.0,3.3306690738754696e-16
8004,dual_independent_relay,4_to_5,0ac5a00869f3118eee7c071e8feced36519e1cc17642d4994d7eac58d3355ad5,1.0,True,2.2260490699988027e-20,1.784278627254536e-17,2.5233510337158133e-17,0.0,0.0,2.4272051154797084e-17,2.0610449297598253e-17,2.0610449297598252e-05,1.0,7.441380875483348e-23,0.625,0.0,0.0,0.0,2.220446049250313e-16
8004,dual_independent_relay,5_to_6,0ac5a00869f3118eee7c071e8feced36519e1cc17642d4994d7eac58d3355ad5,1.0,True,2.2260490699988027e-20,2.4272051154797084e-17,3.432586392972758e-17,0.0,0.0,2.9813641722397177e-17,2.2680897682942148e-17,2.268089768294215e-05,0.28125,6.498322275751871e-23,0.0,0.0,0.0,0.0,2.220446049250313e-16
8004,dual_independent_relay,6_to_7,0ac5a00869f3118eee7c071e8feced36519e1cc17642d4994d7eac58d3355ad5,1.0,True,2.2260490699988027e-20,2.9813641722397177e-17,4.216285646754645e-17,0.0,0.0,3.2698273051308506e-17,2.632275315931451e-17,2.632275315931451e-05,0.0,8.404243880831125e-23,0.0,0.0,0.0,0.0,2.220446049250313e-16
8005,distributed,4_to_5,5c4c71822786426154bacc23be8827c4c736837ef52ba3e1c17f7e27762c2461,1.0,True,8.92172706322998e-05,0.09085379567849956,0.08522584334855299,0.0929236902998699,1.0,0.14359227560939258,0.07299715319816516,0.5083640668578575,0.0,5.925823487874221e-07,0.0,6.793142612298627e-07,7.973772472449949e-05,0.99853515625,2.220446049250313e-16
8005,distributed,5_to_6,5c4c71822786426154bacc23be8827c4c736837ef52ba3e1c17f7e27762c2461,1.0,True,8.92172706322998e-05,0.14359227560939258,0.12800204381284536,0.15335495843144026,1.0,0.20049590726256555,0.11670844242032583,0.5820988767989499,0.53125,1.3848467804851717e-06,0.0,1.788470964127027e-06,0.00015106583307737125,1.0,3.3306690738754696e-16
